team,player,position,champion,number_of_wins,number_of_losses,player_win_loss_ratio,avg_champion_winrate,player_kda_ratio,avg_kda_ratio
GS,Alive,Adc,"Miss Fortune",2,1,0.67,0.50,3.63,4.18
INF,Whitelotus,Adc,Aphelios,0,1,0.00,0.67,3.00,9.00
HLE,Deft,Adc,Ezreal,1,1,0.50,0.56,2.80,4.76
DFM,Yutapon,Adc,Jhin,0,1,0.00,0.00,2.00,2.00
INF,Whitelotus,Adc,"Miss Fortune",0,1,0.00,0.50,5.00,4.18
UOL,Argonavt,Adc,Lucian,0,1,0.00,0.33,1.00,2.00
UOL,Argonavt,Adc,Ezreal,0,1,0.00,0.56,0.80,4.76
DFM,Yutapon,Adc,Ezreal,1,0,1.00,0.56,6.00,4.76
DFM,Yutapon,Adc,"Miss Fortune",2,0,1.00,0.50,14.50,4.18
C9,Zven,Adc,"Miss Fortune",1,2,0.33,0.50,2.86,4.18
LNG,Light,Adc,"Miss Fortune",2,0,1.00,0.50,10.50,4.18
BYG,Doggo,Adc,"Miss Fortune",0,1,0.00,0.50,3.50,4.18
HLE,Deft,Adc,Kaisa,1,0,1.00,1.00,6.00,6.00
BYG,Doggo,Adc,Ezreal,1,2,0.33,0.56,6.33,4.76
UOL,Argonavt,Adc,"Miss Fortune",0,1,0.00,0.50,0.80,4.18
LNG,Light,Adc,Aphelios,1,0,1.00,0.67,4.00,9.00
PCE,Violet,Adc,"Miss Fortune",0,1,0.00,0.50,2.00,4.18
C9,Zven,Adc,Ezreal,2,0,1.00,0.56,16.00,4.76
INF,Whitelotus,Adc,Lucian,0,2,0.00,0.33,0.86,2.00
RED,Titan,Adc,"Miss Fortune",1,2,0.33,0.50,3.29,4.18
DFM,Yutapon,Adc,Aphelios,1,0,1.00,0.67,14.00,9.00
GS,Alive,Adc,Lucian,0,1,0.00,0.33,0.20,2.00
PCE,Violet,Adc,Xayah,1,0,1.00,1.00,10.00,10.00
LNG,Light,Adc,Lucian,1,0,1.00,0.33,11.00,2.00
BYG,Doggo,Adc,Draven,1,0,1.00,1.00,7.00,7.00
PCE,Violet,Adc,Tristana,0,1,0.00,0.00,1.00,1.00
HLE,Deft,Adc,"Miss Fortune",1,0,1.00,0.50,14.00,4.18
UOL,Argonavt,Adc,Senna,1,1,0.50,0.50,9.33,9.33
PCE,Violet,Adc,Lucian,1,0,1.00,0.33,4.50,2.00
RED,Titan,Adc,Kalista,0,1,0.00,0.00,1.00,1.00
UOL,Ahahacik,Jungle,"Lee Sin",1,3,0.25,0.38,2.08,2.00
DFM,Steal,Jungle,"Xin Zhao",2,1,0.67,0.33,4.33,1.91
UOL,Ahahacik,Jungle,Trundle,0,1,0.00,0.00,1.75,1.75
GS,Mojito,Jungle,Talon,1,0,1.00,1.00,3.75,5.20
GS,Mojito,Jungle,"Xin Zhao",0,1,0.00,0.33,0.33,1.91
C9,Blaber,Jungle,"Lee Sin",1,0,1.00,0.38,4.00,2.00
BYG,Husha,Jungle,Graves,0,1,0.00,0.25,1.83,2.57
INF,Solidsnake,Jungle,Jarvan,0,1,0.00,0.33,1.00,1.92
RED,Aegis,Jungle,Lillia,1,0,1.00,0.60,7.00,3.71
C9,Blaber,Jungle,Taliyah,1,0,1.00,1.00,8.50,7.33
PCE,Babip,Jungle,Lillia,1,0,1.00,0.60,3.75,3.71
RED,Aegis,Jungle,"Xin Zhao",0,2,0.00,0.33,0.88,1.91
LNG,Tarzan,Jungle,Qiyana,2,0,1.00,0.80,6.00,3.90
C9,Blaber,Jungle,Qiyana,1,0,1.00,0.80,5.00,3.90
HLE,Willer,Jungle,Sejuani,0,1,0.00,0.00,1.25,1.25
PCE,Babip,Jungle,Zed,0,1,0.00,0.50,0.80,1.00
LNG,Tarzan,Jungle,Gragas,1,0,1.00,1.00,6.00,8.00
HLE,Willer,Jungle,"Lee Sin",1,0,1.00,0.38,2.00,2.00
GS,Mojito,Jungle,"Lee Sin",0,1,0.00,0.38,0.25,2.00
PCE,Bapip,Jungle,Lillia,0,1,0.00,0.60,1.00,3.71
INF,Solidsnake,Jungle,"Lee Sin",0,1,0.00,0.38,2.00,2.00
INF,Solidsnake,Jungle,"Xin Zhao",0,1,0.00,0.33,1.67,1.91
C9,Blaber,Jungle,"Xin Zhao",0,1,0.00,0.33,1.83,1.91
GS,Mojito,Jungle,Qiyana,1,0,1.00,0.80,7.00,3.90
DFM,Steal,Jungle,Lillia,1,0,1.00,0.60,16.00,3.71
DFM,Steal,Jungle,Talon,1,0,1.00,1.00,11.00,5.20
RED,Aegis,Jungle,Graves,0,1,0.00,0.25,1.60,2.57
BYG,Husha,Jungle,"Xin Zhao",2,2,0.50,0.33,2.21,1.91
HLE,Willer,Jungle,Taliyah,2,0,1.00,1.00,6.75,7.33
LNG,Tarzan,Jungle,Graves,1,0,1.00,0.25,11.00,2.57
INF,Solidsnake,Jungle,Qiyana,0,1,0.00,0.80,0.50,3.90
C9,Blaber,Jungle,Olaf,0,1,0.00,0.00,2.50,2.50
PCE,Babip,Jungle,Nocturn,1,0,1.00,1.00,4.67,4.67
C9,Perkz,Mid,Sylas,2,0,1.00,0.44,6.00,2.60
UOL,Nomanz,Mid,Sylas,1,1,0.50,0.44,2.71,2.60
GS,Bolulu,Mid,Ryze,1,0,1.00,0.67,3.50,1.55
BYG,Maoan,Mid,Syndra,1,0,1.00,1.00,3.00,3.00
BYG,Maoan,Mid,Orianna,0,1,0.00,0.25,1.25,2.46
DFM,Aria,Mid,Zoe,1,0,1.00,0.33,6.00,2.50
UOL,Nomanz,Mid,Orianna,0,2,0.00,0.25,1.75,2.46
GS,Bolulu,Mid,Azir,0,1,0.00,0.67,0.00,3.00
HLE,Chovy,Mid,Sylas,1,0,1.00,0.44,11.00,2.60
RED,Grevthar,Mid,Irelia,0,1,0.00,0.40,4.00,1.75
LNG,Icon,Mid,Zed,1,0,1.00,0.50,2.00,1.00
HLE,Chovy,Mid,Azir,2,0,1.00,0.67,4.50,3.00
C9,Perkz,Mid,Tryndamere,1,0,1.00,0.67,13.00,7.20
BYG,Maoan,Mid,Yone,0,1,0.00,0.00,2.00,2.00
RED,Grevthar,Mid,"Twisted Fate",0,1,0.00,0.50,2.25,6.75
LNG,Icon,Mid,Leblanc,1,0,1.00,0.33,11.00,2.47
PCE,Tally,Mid,Galio,0,1,0.00,0.00,2.00,2.00
C9,Perkz,Mid,Leblanc,0,1,0.00,0.33,1.75,2.47
UOL,Nomanz,Mid,Leblanc,0,1,0.00,0.33,1.67,2.47
GS,Bolulu,Mid,"Twisted Fate",1,0,1.00,0.50,18.00,6.75
DFM,Aria,Mid,Akali,1,0,1.00,1.00,5.00,5.00
BYG,Maoan,Mid,Sylas,0,1,0.00,0.44,0.75,2.60
GS,Bolulu,Mid,Sylas,0,1,0.00,0.44,2.00,2.60
HLE,Chovy,Mid,Tryndamere,0,1,0.00,0.67,1.67,7.20
RED,Grevthar,Mid,Ryze,0,1,0.00,0.67,0.80,1.55
LNG,Icon,Mid,Gragas,1,0,1.00,1.00,12.00,8.00
PCE,Tally,Mid,Irelia,1,1,0.50,0.40,2.11,1.75
INF,Cody,Mid,Zoe,0,1,0.00,0.33,1.33,2.50
DFM,Aria,Mid,Leblanc,1,1,0.50,0.33,6.00,2.47
LNG,Icon,Mid,Lissandra,1,0,1.00,1.00,5.00,5.00
INF,Cody,Mid,Leblanc,0,1,0.00,0.33,0.40,2.47
INF,Cody,Mid,Sylas,0,2,0.00,0.44,1.18,2.60
DFM,Aria,Mid,Orianna,1,0,1.00,0.25,13.00,2.46
C9,Perkz,Mid,Zoe,0,1,0.00,0.33,1.67,2.50
RED,Grevthar,Mid,Sett,1,0,1.00,1.00,5.50,4.00
BYG,Maoan,Mid,Ryze,1,0,1.00,0.67,1.50,1.55
PCE,Tally,Mid,Tryndamere,1,0,1.00,0.67,18.00,7.20
GS,Zergsting,Support,Bard,1,0,1.00,1.00,11.00,11.00
RED,Jojo,Support,Lulu,0,1,0.00,0.00,1.33,1.33
BYG,Kino,Support,Braum,0,1,0.00,0.33,2.50,5.00
UOL,Santas,Support,Rakan,0,1,0.00,0.63,2.00,4.63
DFM,Gaeng,Support,Leona,3,0,1.00,0.92,5.00,4.58
HLE,Vsta,Support,Leona,2,0,1.00,0.92,6.33,4.58
PCE,Aladoric,Support,Rakan,0,1,0.00,0.63,1.25,4.63
HLE,Vsta,Support,Amumu,1,0,1.00,0.13,3.50,1.46
INF,Ackerman,Support,Amumu,0,1,0.00,0.13,1.33,1.46
LNG,Iwandy,Support,Leona,2,0,1.00,0.92,13.00,4.58
PCE,Aladoric,Support,Amumu,0,1,0.00,0.13,1.33,1.46
C9,Vulcan,Support,Rell,0,1,0.00,0.00,4.50,4.50
UOL,Santas,Support,Sion,1,0,1.00,1.00,11.00,11.00
RED,Jojo,Support,Leona,1,1,0.50,0.92,2.29,4.58
HLE,Vsta,Support,Karma,0,1,0.00,0.00,1.33,1.33
LNG,Iwandy,Support,Rakan,2,0,1.00,0.63,26.00,4.63
GS,Zergsting,Support,Thresh,0,1,0.00,0.50,1.25,5.25
UOL,Santas,Support,Wukong,0,1,0.00,0.33,1.75,3.14
BYG,Kino,Support,Rakan,2,0,1.00,0.63,3.29,4.63
UOL,Santas,Support,Nautilus,0,1,0.00,0.00,0.50,0.50
GS,Zergsting,Support,Nami,0,1,0.00,0.00,0.50,1.17
PCE,Aladoric,Support,Braum,1,0,1.00,0.33,19.00,5.00
DFM,Gaeng,Support,Thresh,1,0,1.00,0.50,16.00,5.25
BYG,Kino,Support,Amumu,0,2,0.00,0.13,1.08,1.46
